episode,agent,opponent,goals_scored,goals_conceded,result
425,base2,base,3,2,win
426,base,base2,3,2,win
426,base2,base,2,3,lose
427,base,base2,3,2,win
427,base2,base,3,2,win
428,base,base2,2,3,lose
428,base2,base,3,2,win
429,base,base2,3,2,win
429,base2,base,2,3,lose
430,base,base2,2,3,lose
430,base2,base,3,2,win
431,base,base2,2,3,lose
431,base2,base,3,2,win
432,base,base2,3,2,win
432,base2,base,3,2,win
433,base,base2,3,2,win
433,base2,base,2,3,lose
434,base,base2,3,2,win
434,base2,base,2,3,lose
435,base,base2,3,2,win
435,base2,base,2,3,lose
436,base,base2,3,2,win
436,base2,base,2,3,lose
437,base,base2,2,3,lose
437,base2,base,2,3,lose
438,base,base2,3,2,win
438,base2,base,3,2,win
439,base,base2,3,2,win
439,base2,base,2,3,lose
440,base,base2,3,2,win
440,base2,base,3,2,win
441,base,base2,3,2,win
441,base2,base,3,2,win
442,base,base2,3,2,win
442,base2,base,2,3,lose
443,base,base2,2,3,lose
443,base2,base,2,3,lose
444,base,base2,3,2,win
444,base2,base,3,2,win
445,base,base2,2,3,lose
445,base2,base,2,3,lose
446,base,base2,2,3,lose
446,base2,base,2,3,lose
447,base,base2,3,2,win
447,base2,base,3,2,win
448,base,base2,2,3,lose
448,base2,base,3,2,win
449,base,base2,3,2,win
449,base2,base,2,3,lose
450,base,base2,2,3,lose
450,base2,base,3,2,win
451,base,base2,3,2,win
451,base2,base,3,2,win
452,base,base2,3,2,win
452,base2,base,2,3,lose
453,base,base2,3,2,win
453,base2,base,2,3,lose
454,base,base2,2,3,lose
454,base2,base,2,3,lose
455,base,base2,3,2,win
455,base2,base,2,3,lose
456,base,base2,2,3,lose
456,base2,base,2,3,lose
457,base,base2,2,3,lose
457,base2,base,3,2,win
458,base,base2,2,3,lose
458,base2,base,2,3,lose
459,base,base2,3,2,win
459,base2,base,3,2,win
460,base,base2,3,2,win
460,base2,base,2,3,lose
461,base,base2,2,3,lose
461,base2,base,3,2,win
462,base,base2,2,3,lose
462,base2,base,2,3,lose
463,base,base2,2,3,lose
463,base2,base,3,2,win
464,base,base2,2,3,lose
464,base2,base,3,2,win
465,base,base2,2,3,lose
465,base2,base,2,3,lose
466,base,base2,2,3,lose
466,base2,base,2,3,lose
467,base,base2,3,2,win
467,base2,base,3,2,win
468,base,base2,3,2,win
468,base2,base,3,2,win
469,base,base2,3,2,win
469,base2,base,3,2,win
470,base,base2,2,3,lose
470,base2,base,2,3,lose
471,base,base2,3,2,win
471,base2,base,2,3,lose
472,base,base2,3,2,win
472,base2,base,3,2,win
473,base,base2,2,3,lose
473,base2,base,3,2,win
474,base,base2,3,2,win
474,base2,base,2,3,lose
475,base,base2,2,3,lose
475,base2,base,2,3,lose
476,base,base2,3,2,win
476,base2,base,3,2,win
477,base,base2,3,2,win
477,base2,base,3,2,win
478,base,base2,3,2,win
478,base2,base,2,3,lose
479,base,base2,2,3,lose
479,base2,base,3,2,win
480,base,base2,3,2,win
480,base2,base,2,3,lose
481,base,base2,3,2,win
481,base2,base,3,2,win
482,base,base2,2,3,lose
482,base2,base,3,2,win
483,base,base2,3,2,win
483,base2,base,2,3,lose
484,base,base2,3,2,win
484,base2,base,3,2,win
485,base,base2,3,2,win
485,base2,base,3,2,win
486,base,base2,2,3,lose
486,base2,base,3,2,win
487,base,base2,3,2,win
487,base2,base,2,3,lose
488,base,base2,3,2,win
488,base2,base,2,3,lose
489,base,base2,2,3,lose
489,base2,base,2,3,lose
490,base,base2,3,2,win
490,base2,base,3,2,win
491,base,base2,2,3,lose
