episode,agent,opponent,goals_scored,goals_conceded,result
436,no_limit,base,2,3,lose
437,base,no_limit,3,2,win
437,no_limit,base,3,2,win
438,base,no_limit,2,3,lose
438,no_limit,base,2,3,lose
439,base,no_limit,3,2,win
439,no_limit,base,2,3,lose
440,base,no_limit,2,3,lose
440,no_limit,base,3,2,win
441,base,no_limit,3,2,win
441,no_limit,base,3,2,win
442,base,no_limit,2,3,lose
442,no_limit,base,2,3,lose
443,base,no_limit,3,2,win
443,no_limit,base,2,3,lose
444,base,no_limit,3,2,win
444,no_limit,base,3,2,win
445,base,no_limit,2,3,lose
445,no_limit,base,2,3,lose
446,base,no_limit,2,3,lose
446,no_limit,base,2,3,lose
